Fecha,Hora,Timestamp,Usuario,IP,Puerto,Resultado
2025-09-13,05:22:56,2025-09-13 05:22:56,developer,192.168.1.50,46112,Failed
2025-09-13,20:59:13,2025-09-13 20:59:13,admin,203.0.113.100,54656,Failed
2025-09-13,15:12:37,2025-09-13 15:12:37,test,203.0.114.88,42228,Failed
2025-09-13,18:57:56,2025-09-13 18:57:56,service,198.51.100.200,52243,Failed
2025-09-13,22:01:54,2025-09-13 22:01:54,developer,192.168.1.50,49535,Failed
2025-09-13,22:09:32,2025-09-13 22:09:32,user1,192.168.1.50,40291,Failed
2025-09-13,19:50:25,2025-09-13 19:50:25,guest,203.0.113.77,44856,Failed
2025-09-13,20:50:53,2025-09-13 20:50:53,webmaster,10.1.1.15,56321,Failed
2025-09-13,09:11:47,2025-09-13 09:11:47,operator,203.0.113.77,57218,Failed
2025-09-13,17:31:35,2025-09-13 17:31:35,sysadmin,203.0.113.100,43213,Failed
2025-09-13,05:20:56,2025-09-13 05:20:56,demo,192.168.1.77,53021,Failed
2025-09-13,09:05:00,2025-09-13 09:05:00,sysadmin,172.16.0.2,53477,Failed
2025-09-13,05:48:52,2025-09-13 05:48:52,backup,10.0.0.5,41901,Failed
2025-09-13,23:00:16,2025-09-13 23:00:16,developer,10.0.0.5,59057,Failed
2025-09-13,18:04:09,2025-09-13 18:04:09,ftp,198.18.0.1,42309,Failed
2025-09-13,06:24:11,2025-09-13 06:24:11,user2,198.18.0.1,53924,Failed
2025-09-13,16:19:45,2025-09-13 16:19:45,developer,198.51.100.12,42856,Failed
2025-09-13,01:57:20,2025-09-13 01:57:20,admin,198.18.0.1,43084,Failed
2025-09-13,19:01:12,2025-09-13 19:01:12,test,203.0.113.100,49064,Failed
2025-09-13,10:11:38,2025-09-13 10:11:38,root,10.1.1.15,46991,Failed
2025-09-13,15:38:24,2025-09-13 15:38:24,ftp,10.0.0.5,55729,Failed
2025-09-13,21:04:08,2025-09-13 21:04:08,test,203.0.113.45,54760,Failed
2025-09-13,08:28:43,2025-09-13 08:28:43,sysadmin,10.1.1.15,41414,Failed
2025-09-13,08:57:06,2025-09-13 08:57:06,ftp,198.51.100.200,45212,Failed
2025-09-13,12:27:58,2025-09-13 12:27:58,guest,203.0.113.100,51387,Failed
2025-09-13,05:42:17,2025-09-13 05:42:17,user2,203.0.114.88,57368,Failed
2025-09-13,19:00:12,2025-09-13 19:00:12,operator,203.0.113.77,56653,Failed
2025-09-13,09:28:22,2025-09-13 09:28:22,sysadmin,10.0.0.5,56900,Failed
2025-09-13,11:32:04,2025-09-13 11:32:04,backup,10.1.1.15,44781,Failed
2025-09-13,00:03:41,2025-09-13 00:03:41,sysadmin,10.0.0.5,54156,Failed
2025-09-13,02:22:05,2025-09-13 02:22:05,test,192.168.1.77,41563,Failed
2025-09-13,09:25:26,2025-09-13 09:25:26,service,10.0.0.5,40466,Failed
2025-09-13,03:57:21,2025-09-13 03:57:21,guest,203.0.113.100,54224,Failed
2025-09-13,04:01:18,2025-09-13 04:01:18,root,203.0.113.77,51196,Failed
2025-09-13,18:05:02,2025-09-13 18:05:02,root,192.168.1.77,54362,Failed
2025-09-13,21:32:21,2025-09-13 21:32:21,user2,192.168.1.50,44736,Failed
2025-09-13,02:15:10,2025-09-13 02:15:10,test,192.168.1.77,54237,Failed
2025-09-13,09:00:50,2025-09-13 09:00:50,ftp,198.51.100.12,44844,Failed
2025-09-13,14:39:32,2025-09-13 14:39:32,demo,10.1.1.15,59630,Failed
2025-09-13,16:51:38,2025-09-13 16:51:38,sysadmin,198.18.0.1,45010,Failed
2025-09-13,22:43:43,2025-09-13 22:43:43,operator,203.0.113.100,40322,Failed
2025-09-13,09:14:45,2025-09-13 09:14:45,service,10.0.0.5,51246,Failed
2025-09-13,17:51:39,2025-09-13 17:51:39,operator,10.0.0.5,57083,Failed
2025-09-13,07:21:23,2025-09-13 07:21:23,ftp,198.51.100.12,46148,Failed
2025-09-13,11:40:40,2025-09-13 11:40:40,operator,172.16.0.2,47085,Failed
2025-09-13,13:30:24,2025-09-13 13:30:24,admin,198.18.0.1,59534,Failed
2025-09-13,23:57:35,2025-09-13 23:57:35,ftp,10.1.1.15,44242,Failed
2025-09-13,09:38:21,2025-09-13 09:38:21,backup,10.1.1.15,53733,Failed
2025-09-13,14:04:05,2025-09-13 14:04:05,webmaster,198.51.100.12,45851,Failed
2025-09-13,09:34:18,2025-09-13 09:34:18,operator,192.168.1.50,57795,Failed
